opportunity_label,type,reason_code,side_pattern,cycles_seen,occurrence_pct,first_cycle,last_cycle,avg_net_profit_usd,min_net_profit_usd,max_net_profit_usd,avg_roi_pct,min_roi_pct,max_roi_pct,avg_required_capital_usd,avg_pair_fill_prob,avg_toxicity,avg_confidence,avg_book_depth_ratio,avg_realized_ev_score,avg_market_volume,median_time_to_resolution_h,median_time_to_resolution_human,realness_score,realness_tier,why,risk_flags,when_money
Will JD Vance win the 2028 US Presidential Election?,correlation_arb,corr_complement_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,1136.5256,1136.4848,1136.7001,113.6526,113.6485,113.67,1000.0,1.0,0.0,0.9977,206.741668,0.731059,28947998.96,23888.34,2.7y,97.26,Very High,persisted 301/301 cycles; high model confidence; good depth,none,Usually on resolution (~2.7y); may be monetized earlier if prices reconverge.
StandX FDV above $800M one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,202.9044,202.8635,203.0789,36.385,36.3777,36.4163,557.6591,1.0,0.0,0.9977,5.576591,0.731059,76528.95,7664.34,10.5mo,97.26,Very High,persisted 301/301 cycles; high model confidence; good depth,none,Usually by later parent/child resolution (~10.5mo); earlier reconvergence exit possible.
StandX FDV above $800M one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,149.6491,149.6082,149.8236,24.4959,24.4892,24.5245,610.9144,1.0,0.0,0.9977,6.109144,0.731059,76528.95,7664.34,10.5mo,97.26,Very High,persisted 301/301 cycles; high model confidence; good depth,none,Usually by later parent/child resolution (~10.5mo); earlier reconvergence exit possible.
StandX FDV above $800M one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,2.4817,2.4408,2.6561,12.9714,12.7577,13.8833,19.1318,1.0,0.0,0.9977,2.439047,0.731059,76528.95,7664.34,10.5mo,94.02,Very High,persisted 301/301 cycles; high model confidence; good depth,none,Usually by later parent/child resolution (~10.5mo); earlier reconvergence exit possible.
OpenAI $1t+ IPO before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,77.4687,77.4278,77.6432,49.1101,49.0842,49.2207,157.7448,1.0,0.0,0.997,1.577448,0.731059,223814.24,7640.34,10.5mo,92.53,Very High,persisted 301/301 cycles; high model confidence; good depth,none,Usually by later parent/child resolution (~10.5mo); earlier reconvergence exit possible.
Will OpenAI’s market cap be less than $500B at market close on IPO day?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,111.6075,111.5666,111.782,90.293,90.2599,90.4341,123.606,1.0,0.0,0.997,1.23606,0.731059,230626.86,3224.34,4.4mo,91.74,Very High,persisted 301/301 cycles; high model confidence; good depth,none,Usually by later parent/child resolution (~4.4mo); earlier reconvergence exit possible.
Will StandX launch a token by March 31?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,1.9733,1.9324,2.1478,3.5434,3.47,3.8567,55.6902,1.0,0.0,0.997,0.556902,0.731059,6897.6,1064.34,6.3w,89.55,High,persisted 301/301 cycles; high model confidence; moderate depth,none,Usually by later parent/child resolution (~6.3w); earlier reconvergence exit possible.
Will StandX launch a token by March 31?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,5.0935,5.0526,5.268,15.586,15.4609,16.1199,32.68,1.0,0.0,0.997,0.3268,0.731059,6897.6,1064.34,6.3w,88.76,High,persisted 301/301 cycles; high model confidence; moderate depth,none,Usually by later parent/child resolution (~6.3w); earlier reconvergence exit possible.
Will Gavin Newsom announce a Presidential run before 2027?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,5.9943,5.9534,6.1688,18.6279,18.5008,19.1701,32.1792,1.0,0.0,0.997,0.321792,0.731059,15122.7,7640.34,10.5mo,88.75,High,persisted 301/301 cycles; high model confidence; moderate depth,none,Usually by later parent/child resolution (~10.5mo); earlier reconvergence exit possible.
StandX FDV above $800M one day after launch?,correlation_arb,corr_parent_child_buy_liquidity_weighted,BUY/BUY,301,100.0,1,301,4.6435,4.6026,4.818,90.5167,89.7197,93.9176,5.13,1.0,0.0,0.997,0.0513,0.731059,76528.95,7664.34,10.5mo,87.46,High,persisted 301/301 cycles; high model confidence; thin depth,none,Usually by later parent/child resolution (~10.5mo); earlier reconvergence exit possible.
